"","ID","Species","court_mp","court_cp"
"1","233","CP",0,1
"2","600","CP",0,1
"3","559","CP",0,2
"4","562","CP",0,2
"5","563","CP",0,2
"6","572","CP",0,2
"7","593","CP",0,2
"8","597","CP",1,1
"9","568","CP",0,3
"10","569","CP",0,3
"11","560","CP",2,1
"12","208","MP",3,0
"13","561","CP",1,3
"14","366","MP",4,0
"15","272","CP",0,5
"16","601","CP",0,5
"17","371","CP",1,4
"18","587","CP",1,4
"19","599","CP",1,4
"20","273","MP",5,0
"21","277","MP",5,0
"22","567","CP",4,2
"23","213","MP",6,0
"24","592","CP",1,6
"25","222","CP",3,4
"26","211","MP",5,3
"27","575","CP",0,9
"28","482","CP",2,7
"29","364","MP",9,0
"30","276","MP",10,0
"31","209","MP",11,0
"32","365","MP",9,3
"33","214","CP",1,12
"34","212","MP",13,1
"35","243","MP",14,0
"36","838","CP",1,14
"37","207","MP",16,0
"38","598","CP",1,16
"39","372","CP",3,16
"40","574","CP",4,17
"41","370","CP",3,26
"42","453","MP",31,2
"43","480","MP",43,2
"44","433","MP",54,5
